area,floorRange,typeOfSale,price,propertyType,typeOfArea,mktSegment,Year,region
763.7,Ground,Resale,16800000,Detached,Land,CCR,2020,Central
132.0,01-05,Resale,4100000,Apartment,Strata,RCR,2022,Central
371.0,Ground,Resale,4680000,Semi-detached,Land,OCR,2020,West
175.1,Ground,Resale,4188000,Terrace,Land,RCR,2024,West
132.0,01-05,Resale,2400000,Condominium,Strata,OCR,2024,West
78.0,01-05,Resale,1500000,Condominium,Strata,RCR,2024,West
87.0,11-15,Resale,1715000,Condominium,Strata,OCR,2023,West
113.0,01-05,Resale,1450000,Condominium,Strata,OCR,2024,West
152.4,Ground,Resale,2660000,Terrace,Land,OCR,2021,West
79.0,11-15,Resale,1400000,Apartment,Strata,RCR,2023,Central
702.1,Ground,Resale,9000000,Detached,Land,CCR,2020,Central
41.0,36-40,Resale,995000,Condominium,Strata,RCR,2023,Central
177.0,11-15,Resale,4368000,Condominium,Strata,CCR,2024,Central
78.0,01-05,Sub Sale,2420000,Apartment,Strata,RCR,2024,Central
840.0,Ground,Resale,13300000,Detached,Land,CCR,2021,Central
148.0,01-05,Resale,2080000,Apartment,Strata,RCR,2023,West
107.0,01-05,Resale,1850000,Condominium,Strata,RCR,2023,Central
210.4,Ground,Resale,3200000,Terrace,Land,RCR,2020,West
70.0,01-05,Resale,1125000,Apartment,Strata,RCR,2021,Central
83.0,06-10,Resale,1308800,Apartment,Strata,OCR,2024,West
51.0,06-10,Resale,830000,Condominium,Strata,OCR,2024,West
136.0,01-05,Resale,1960000,Condominium,Strata,OCR,2024,West
830.9,Ground,Resale,14000000,Detached,Land,CCR,2020,Central
268.0,Ground,Resale,2100000,Strata Terrace,Strata,OCR,2019,West
165.2,Ground,Resale,3430000,Terrace,Land,RCR,2022,West
77.0,01-05,Resale,1150000,Apartment,Strata,RCR,2024,Central
194.0,01-05,Resale,2600000,Condominium,Strata,RCR,2020,Central
412.0,Ground,Resale,1713900,Semi-detached,Land,RCR,2019,Central
91.0,26-30,Resale,2100000,Apartment,Strata,RCR,2024,Central
289.3,Ground,Resale,4350000,Semi-detached,Land,RCR,2021,West
805.9,Ground,Resale,16000000,Detached,Land,CCR,2024,Central
64.0,06-10,Resale,1500000,Apartment,Strata,RCR,2024,Central
165.0,Ground,Resale,3200000,Terrace,Land,RCR,2022,West
94.0,01-05,Resale,1600000,Apartment,Strata,RCR,2022,Central
49.0,06-10,Sub Sale,1488000,Apartment,Strata,CCR,2023,Central
186.4,Ground,Resale,3700000,Terrace,Land,OCR,2024,West
58.0,11-15,Resale,1360000,Apartment,Strata,RCR,2024,Central
513.0,B1-B5,Resale,8300000,Condominium,Strata,RCR,2024,West
65.0,26-30,Resale,1475000,Apartment,Strata,CCR,2023,Central
95.0,26-30,Resale,1400000,Apartment,Strata,RCR,2024,West
86.0,06-10,Resale,2118888,Condominium,Strata,RCR,2024,Central
117.0,06-10,Resale,2830000,Condominium,Strata,RCR,2024,Central
165.0,01-05,Resale,1820000,Apartment,Strata,RCR,2020,Central
45.0,01-05,Resale,900000,Condominium,Strata,RCR,2024,Central
82.0,11-15,Resale,1010000,Apartment,Strata,RCR,2023,Central
49.0,21-25,Resale,950000,Apartment,Strata,CCR,2022,Central
155.0,01-05,Resale,1938000,Condominium,Strata,RCR,2019,West
67.0,11-15,Sub Sale,1428000,Apartment,Strata,OCR,2023,West
137.0,36-40,Resale,2710000,Condominium,Strata,RCR,2023,Central
216.6,Ground,Resale,3725000,Terrace,Land,RCR,2020,West
60.0,01-05,Resale,950000,Condominium,Strata,OCR,2024,West
434.1,Ground,Resale,5050000,Semi-detached,Land,OCR,2021,West
304.0,01-05,Resale,5728000,Condominium,Strata,CCR,2023,Central
192.0,01-05,Resale,3717000,Condominium,Strata,CCR,2024,Central
68.0,26-30,Sub Sale,1688000,Apartment,Strata,RCR,2024,Central
259.0,31-35,New Sale,8808000,Apartment,Strata,RCR,2023,Central
43.0,01-05,Resale,950000,Apartment,Strata,RCR,2023,West
82.0,Ground,Resale,4000000,Terrace,Land,RCR,2023,Central
118.0,16-20,Resale,3000000,Condominium,Strata,RCR,2023,Central
92.0,01-05,Resale,1150000,Condominium,Strata,RCR,2020,West
217.0,Ground,Resale,2230000,Strata Terrace,Strata,RCR,2021,West
92.0,01-05,Resale,1452000,Apartment,Strata,RCR,2020,Central
207.0,06-10,Resale,1250000,Apartment,Strata,CCR,2020,Central
228.5,Ground,Resale,4100000,Terrace,Land,OCR,2024,West
136.0,26-30,New Sale,4539000,Apartment,Strata,CCR,2024,Central
79.0,01-05,Resale,924000,Apartment,Strata,RCR,2024,Central
66.0,11-15,Resale,1380000,Apartment,Strata,OCR,2024,West
778.4,Ground,Resale,12900128,Detached,Land,CCR,2021,Central
206.9,Ground,Resale,4342800,Semi-detached,Land,RCR,2023,West
48.0,16-20,New Sale,1932000,Apartment,Strata,RCR,2023,Central
122.0,01-05,Resale,1880000,Apartment,Strata,RCR,2023,West
278.0,01-05,Resale,4250000,Condominium,Strata,RCR,2024,West
206.8,Ground,Resale,3350000,Terrace,Land,RCR,2019,West
452.0,11-15,Resale,8100000,Condominium,Strata,CCR,2024,Central
68.0,06-10,Resale,1575000,Condominium,Strata,RCR,2024,Central
177.0,01-05,Resale,2000000,Condominium,Strata,RCR,2020,West
759.0,Ground,Resale,10550000,Detached,Land,CCR,2020,Central
101.0,01-05,New Sale,2850000,Apartment,Strata,RCR,2023,West
88.0,01-05,Resale,1170000,Apartment,Strata,RCR,2021,Central
126.0,16-20,Resale,2850000,Apartment,Strata,CCR,2024,Central
102.0,06-10,New Sale,2825000,Apartment,Strata,RCR,2024,West
45.0,01-05,Resale,818000,Apartment,Strata,RCR,2021,West
113.0,01-05,Resale,2088888,Apartment,Strata,CCR,2020,Central
468.0,Ground,Resale,8480000,Detached,Land,RCR,2023,Central
108.0,06-10,Resale,1605000,Condominium,Strata,OCR,2024,West
152.4,Ground,Resale,3180000,Terrace,Land,OCR,2019,West
90.0,01-05,Resale,1170000,Apartment,Strata,RCR,2020,West
88.0,06-10,Resale,1500000,Condominium,Strata,RCR,2023,Central
309.0,01-05,Resale,2828000,Condominium,Strata,RCR,2020,West
141.0,06-10,Resale,2620000,Apartment,Strata,OCR,2024,West
156.0,01-05,Resale,2800000,Apartment,Strata,RCR,2022,Central
341.0,06-10,Resale,4000000,Apartment,Strata,RCR,2023,West
91.0,11-15,Resale,2120000,Condominium,Strata,RCR,2024,Central
120.0,01-05,Resale,1550000,Apartment,Strata,RCR,2024,West
215.9,Ground,Resale,4900000,Semi-detached,Land,RCR,2024,West
