area,floorRange,typeOfSale,price,propertyType,typeOfArea,mktSegment,Year,region
244.0,01-05,Resale,5000000,Apartment,Strata,CCR,2024,Central
374.7,Ground,Resale,9900000,Semi-detached,Land,CCR,2024,Central
154.0,11-15,Resale,1680000,Condominium,Strata,RCR,2020,East
219.4,Ground,Resale,4940000,Terrace,Land,RCR,2024,East
80.0,01-05,Resale,1780000,Apartment,Strata,CCR,2024,Central
106.0,06-10,Resale,2725000,Apartment,Strata,CCR,2023,Central
110.0,01-05,Resale,1000500,Apartment,Strata,RCR,2020,East
89.0,01-05,Resale,1350000,Apartment,Strata,RCR,2024,Central
99.0,06-10,Resale,2250000,Apartment,Strata,CCR,2024,Central
1029.6,Ground,Resale,22000000,Detached,Land,CCR,2023,Central
107.0,01-05,Resale,1200000,Apartment,Strata,RCR,2023,East
61.0,11-15,Resale,1320000,Apartment,Strata,CCR,2023,Central
1216.3,Ground,Resale,23800000,Detached,Land,CCR,2022,Central
163.0,01-05,Resale,3830000,Apartment,Strata,CCR,2024,Central
39.0,01-05,Resale,660000,Apartment,Strata,RCR,2023,East
110.0,06-10,Resale,1660000,Apartment,Strata,RCR,2024,East
153.8,Ground,Resale,2700000,Terrace,Land,RCR,2020,East
974.7,Ground,Resale,24000000,Detached,Land,CCR,2023,Central
110.0,01-05,Resale,1028888,Apartment,Strata,RCR,2021,East
71.0,01-05,Resale,1165000,Apartment,Strata,CCR,2023,Central
129.0,Ground,Resale,2650000,Condominium,Strata,CCR,2024,Central
127.0,01-05,Resale,1530000,Apartment,Strata,RCR,2023,East
30.0,01-05,Resale,650000,Apartment,Strata,RCR,2023,Central
248.6,Ground,Resale,4580000,Semi-detached,Land,CCR,2023,Central
279.8,Ground,Resale,3388000,Semi-detached,Land,RCR,2020,East
143.3,Ground,Resale,2180000,Terrace,Land,RCR,2019,East
56.0,01-05,Resale,1890000,Apartment,Strata,CCR,2020,Central
185.4,Ground,Resale,3100000,Terrace,Land,RCR,2021,East
58.0,06-10,New Sale,2037000,Apartment,Strata,CCR,2023,Central
244.3,Ground,Resale,4398000,Terrace,Land,CCR,2020,Central
150.0,11-15,Resale,1660000,Apartment,Strata,RCR,2024,East
247.0,01-05,Resale,4800000,Condominium,Strata,CCR,2023,Central
162.5,Ground,Resale,4500000,Terrace,Land,RCR,2023,Central
90.0,01-05,Resale,1300000,Apartment,Strata,RCR,2023,East
50.0,01-05,Resale,918000,Apartment,Strata,CCR,2022,Central
42.0,01-05,Resale,865000,Apartment,Strata,CCR,2024,Central
156.2,Ground,Resale,2075000,Terrace,Land,RCR,2019,East
191.0,16-20,Resale,2130000,Apartment,Strata,CCR,2020,Central
124.0,01-05,Resale,1200000,Apartment,Strata,RCR,2021,Central
75.0,16-20,Resale,2000000,Condominium,Strata,CCR,2020,Central
156.0,06-10,Resale,3900000,Apartment,Strata,CCR,2023,Central
378.3,Ground,Resale,8700000,Terrace,Land,CCR,2024,Central
138.0,06-10,Resale,2480000,Condominium,Strata,CCR,2019,Central
99.0,01-05,Resale,1040000,Apartment,Strata,RCR,2024,East
104.0,01-05,Resale,990000,Apartment,Strata,RCR,2020,Central
1046.4,Ground,Resale,18000000,Detached,Land,CCR,2019,Central
262.0,36-40,Resale,6200000,Condominium,Strata,CCR,2024,Central
877.0,Ground,Resale,7700000,Strata Detached,Strata,CCR,2021,Central
150.0,11-15,Resale,1720000,Apartment,Strata,CCR,2020,Central
39.0,06-10,Resale,673000,Apartment,Strata,RCR,2024,East
367.5,Ground,Resale,13054800,Semi-detached,Land,CCR,2023,Central
49.0,06-10,Resale,930000,Apartment,Strata,RCR,2024,East
41.0,01-05,Resale,720000,Apartment,Strata,RCR,2023,Central
89.0,11-15,Resale,2000000,Condominium,Strata,CCR,2024,Central
260.0,01-05,Resale,1950000,Apartment,Strata,RCR,2020,East
36.0,16-20,Resale,680000,Apartment,Strata,RCR,2024,East
108.0,11-15,Resale,2980000,Apartment,Strata,CCR,2024,Central
137.0,01-05,Resale,3600000,Condominium,Strata,CCR,2023,Central
79.0,06-10,Resale,990000,Apartment,Strata,RCR,2021,Central
117.0,01-05,Resale,1300000,Apartment,Strata,RCR,2019,Central
38.0,01-05,Resale,750000,Apartment,Strata,RCR,2024,East
49.0,06-10,Resale,885000,Condominium,Strata,RCR,2024,East
161.0,06-10,Resale,3930000,Condominium,Strata,CCR,2023,Central
426.7,Ground,Resale,4750000,Terrace,Land,CCR,2020,Central
153.0,Ground,Resale,3320000,Terrace,Land,OCR,2024,East
1122.9,Ground,Resale,25250000,Detached,Land,CCR,2023,Central
147.0,01-05,Resale,2788888,Condominium,Strata,CCR,2020,Central
450.2,Ground,Resale,7200000,Detached,Land,CCR,2020,Central
102.1,Ground,Resale,1740000,Terrace,Land,RCR,2019,East
518.7,Ground,Resale,11000000,Detached,Land,CCR,2024,Central
333.6,Ground,Resale,4900000,Semi-detached,Land,CCR,2020,Central
90.0,01-05,Resale,1230000,Apartment,Strata,RCR,2023,East
348.8,Ground,Resale,11200000,Detached,Land,CCR,2024,Central
113.0,06-10,Resale,3020000,Condominium,Strata,CCR,2024,Central
40.0,01-05,Resale,805000,Apartment,Strata,CCR,2020,Central
260.8,Ground,Resale,5720000,Terrace,Land,CCR,2019,Central
236.9,Ground,Resale,4250000,Semi-detached,Land,CCR,2024,Central
94.0,01-05,Resale,1085000,Apartment,Strata,RCR,2022,Central
39.0,01-05,Resale,650000,Apartment,Strata,RCR,2024,East
285.0,01-05,Resale,3220000,Strata Terrace,Strata,CCR,2020,Central
109.0,01-05,Resale,1900000,Apartment,Strata,CCR,2020,Central
77.0,01-05,Resale,980000,Apartment,Strata,RCR,2024,East
1524.8,01-05,Resale,26280000,Apartment,Land,RCR,2019,East
315.0,Ground,Resale,8000000,Terrace,Land,CCR,2022,Central
333.4,Ground,Resale,5660000,Semi-detached,Land,CCR,2019,Central
155.6,01-05,Resale,3400000,Apartment,Strata,RCR,2022,Central
159.0,01-05,Resale,3088000,Condominium,Strata,CCR,2022,Central
433.0,Ground,Resale,4050000,Strata Semi-detached,Strata,CCR,2023,Central
75.0,01-05,Resale,1600000,Apartment,Strata,CCR,2024,Central
42.0,01-05,Resale,707000,Apartment,Strata,RCR,2023,Central
107.0,06-10,Resale,2982200,Apartment,Strata,CCR,2023,Central
663.9,Ground,Resale,11630000,Detached,Land,CCR,2020,Central
118.0,01-05,Resale,2800000,Apartment,Strata,CCR,2024,Central
42.0,06-10,Resale,751000,Apartment,Strata,RCR,2021,East
118.0,01-05,Resale,1730000,Apartment,Strata,CCR,2020,Central
108.0,01-05,Resale,1001000,Apartment,Strata,OCR,2019,East
243.9,Ground,Resale,2850000,Semi-detached,Land,OCR,2024,East
48.0,01-05,Resale,1080000,Apartment,Strata,CCR,2024,Central
95.0,01-05,Resale,820000,Apartment,Strata,RCR,2020,East
97.0,16-20,Resale,2270000,Condominium,Strata,CCR,2024,Central
79.0,01-05,Sub Sale,1500000,Apartment,Strata,RCR,2024,East
102.0,06-10,Resale,4300000,Condominium,Strata,CCR,2019,Central
782.9,Ground,Resale,7500000,Detached,Land,RCR,2021,East
314.5,Ground,Resale,6000000,Semi-detached,Land,CCR,2021,Central
473.8,Ground,Resale,7580000,Detached,Land,OCR,2020,East
156.0,01-05,Resale,1375000,Apartment,Strata,RCR,2022,East
731.0,Ground,Resale,13200000,Detached,Land,CCR,2021,Central
147.0,16-20,Resale,1868000,Apartment,Strata,RCR,2023,East
203.0,06-10,Resale,4880000,Apartment,Strata,CCR,2022,Central
94.0,01-05,Resale,1428888,Apartment,Strata,RCR,2024,East
99.0,06-10,Resale,1750000,Apartment,Strata,CCR,2024,Central
266.5,Ground,Resale,6500000,Semi-detached,Land,CCR,2023,Central
64.0,01-05,Resale,768000,Apartment,Strata,RCR,2019,East
171.0,01-05,Resale,2175000,Apartment,Strata,CCR,2021,Central
56.0,06-10,Resale,670000,Apartment,Strata,RCR,2019,East
108.0,11-15,Resale,1560000,Apartment,Strata,RCR,2023,East
165.0,06-10,Resale,3935000,Apartment,Strata,CCR,2023,Central
125.0,21-25,Resale,3280000,Condominium,Strata,CCR,2024,Central
86.0,01-05,Resale,2088000,Apartment,Strata,CCR,2024,Central
187.0,06-10,Resale,7000000,Condominium,Strata,CCR,2024,Central
153.0,01-05,Resale,3100000,Apartment,Strata,CCR,2023,Central
1120.0,Ground,Resale,9500000,Detached,Land,CCR,2020,Central
97.0,06-10,Resale,842500,Apartment,Strata,RCR,2020,East
106.0,06-10,Resale,1343000,Apartment,Strata,RCR,2024,East
144.0,06-10,Resale,2350000,Apartment,Strata,CCR,2024,Central
377.4,Ground,Resale,8080000,Semi-detached,Land,CCR,2023,Central
150.0,01-05,New Sale,3828000,Apartment,Strata,CCR,2024,Central
1449.4,Ground,Resale,29000000,Detached,Land,CCR,2021,Central
1527.9,Ground,Resale,31500000,Detached,Land,CCR,2019,Central
118.0,06-10,Resale,1900888,Condominium,Strata,OCR,2023,East
130.0,01-05,Resale,2880000,Apartment,Strata,CCR,2024,Central
85.0,16-20,Resale,1400000,Apartment,Strata,RCR,2023,East
294.0,Ground,Resale,3520000,Strata Terrace,Strata,CCR,2024,Central
94.0,01-05,New Sale,2833600,Apartment,Strata,CCR,2019,Central
581.5,Ground,Resale,14100000,Detached,Land,CCR,2024,Central
88.0,11-15,Resale,1410000,Condominium,Strata,RCR,2024,East
435.0,01-05,Resale,13988000,Condominium,Strata,CCR,2019,Central
133.0,11-15,New Sale,6646000,Apartment,Strata,CCR,2023,Central
125.0,06-10,Resale,1120000,Apartment,Strata,RCR,2021,East
198.0,01-05,Resale,4100000,Condominium,Strata,CCR,2023,Central
189.0,01-05,Resale,4900000,Condominium,Strata,CCR,2023,Central
129.0,01-05,Resale,1280000,Apartment,Strata,RCR,2019,Central
104.0,01-05,Resale,1838000,Apartment,Strata,RCR,2024,East
105.0,01-05,Resale,1960000,Apartment,Strata,CCR,2019,Central
1393.4,Ground,Resale,28000000,Detached,Land,CCR,2020,Central
36.0,06-10,Resale,618000,Apartment,Strata,RCR,2023,East
99.0,01-05,Resale,1570000,Apartment,Strata,CCR,2019,Central
89.6,Ground,Resale,3111888,Terrace,Land,RCR,2024,East
390.0,01-05,New Sale,14403000,Apartment,Strata,CCR,2024,Central
113.0,01-05,Resale,1270000,Apartment,Strata,RCR,2019,East
559.1,Ground,Resale,11388000,Detached,Land,CCR,2021,Central
168.0,01-05,Resale,2300000,Apartment,Strata,CCR,2020,Central
820.4,Ground,Resale,13000000,Detached,Land,CCR,2020,Central
126.0,01-05,Resale,2750000,Condominium,Strata,CCR,2024,Central
124.0,01-05,Resale,2200000,Apartment,Strata,CCR,2020,Central
153.3,Ground,Resale,4450000,Terrace,Land,CCR,2020,Central
221.0,01-05,Resale,4100000,Condominium,Strata,CCR,2024,Central
287.9,Ground,Resale,5100000,Semi-detached,Land,CCR,2021,Central
49.0,01-05,Resale,815000,Apartment,Strata,RCR,2024,East
132.0,01-05,Resale,1358000,Apartment,Strata,RCR,2022,East
230.0,06-10,Resale,2900000,Condominium,Strata,OCR,2023,East
132.0,11-15,Resale,2920000,Apartment,Strata,CCR,2024,Central
1195.7,Ground,Resale,26500000,Detached,Land,CCR,2024,Central
43.0,01-05,Resale,690000,Apartment,Strata,RCR,2023,East
219.4,Ground,New Sale,7778888,Semi-detached,Land,CCR,2023,Central
82.0,06-10,Resale,1080000,Apartment,Strata,RCR,2023,East
221.0,11-15,Resale,3280000,Condominium,Strata,CCR,2024,Central
97.0,01-05,Resale,2780000,Condominium,Strata,CCR,2024,Central
145.0,Ground,Resale,3008000,Condominium,Strata,CCR,2023,Central
284.0,01-05,Resale,13000000,Condominium,Strata,CCR,2024,Central
234.0,06-10,Resale,2800000,Apartment,Strata,CCR,2019,Central
101.0,16-20,Resale,2175000,Apartment,Strata,CCR,2024,Central
130.0,01-05,Resale,2100000,Apartment,Strata,CCR,2024,Central
140.5,Ground,Resale,2288000,Terrace,Land,RCR,2019,East
185.0,06-10,Resale,4790000,Condominium,Strata,CCR,2024,Central
94.0,26-30,Resale,2560000,Condominium,Strata,CCR,2024,Central
168.0,01-05,Resale,2720000,Condominium,Strata,CCR,2019,Central
565.0,Ground,Resale,5100000,Strata Semi-detached,Strata,CCR,2024,Central
43.0,01-05,Resale,790000,Apartment,Strata,RCR,2023,East
105.0,01-05,Resale,1700000,Apartment,Strata,RCR,2023,East
85.0,16-20,Resale,2300000,Apartment,Strata,CCR,2023,Central
445.8,Ground,Resale,6000000,Semi-detached,Land,CCR,2020,Central
106.0,01-05,Resale,2000000,Apartment,Strata,CCR,2023,Central
168.0,06-10,Resale,3350000,Condominium,Strata,CCR,2024,Central
232.0,11-15,Resale,4500000,Condominium,Strata,CCR,2020,Central
266.0,01-05,Resale,4000000,Apartment,Strata,CCR,2023,Central
188.0,11-15,Resale,2700000,Apartment,Strata,RCR,2019,East
549.3,Ground,Resale,6300000,Detached,Land,RCR,2021,East
158.2,Ground,Resale,2380000,Terrace,Land,RCR,2020,East
298.0,01-05,Resale,3400000,Strata Terrace,Strata,CCR,2024,Central
114.0,11-15,Resale,2900000,Apartment,Strata,CCR,2023,Central
122.0,26-30,New Sale,5400000,Apartment,Strata,CCR,2024,Central
136.0,06-10,Resale,2500000,Condominium,Strata,CCR,2024,Central
153.0,06-10,Resale,2850000,Apartment,Strata,CCR,2019,Central
206.0,11-15,Resale,3600000,Condominium,Strata,CCR,2024,Central
137.0,06-10,Resale,1510000,Apartment,Strata,RCR,2021,East
114.0,01-05,Resale,1800000,Apartment,Strata,RCR,2024,East
309.6,Ground,Resale,9680000,Semi-detached,Land,CCR,2023,Central
40.0,01-05,Resale,660000,Apartment,Strata,OCR,2023,East
120.0,01-05,Resale,1868000,Apartment,Strata,CCR,2019,Central
606.6,Ground,Resale,9700000,Detached,Land,CCR,2020,Central
52.0,11-15,Resale,950000,Apartment,Strata,CCR,2021,Central
207.3,Ground,Resale,6250000,Semi-detached,Land,CCR,2021,Central
403.5,Ground,Resale,5500000,Semi-detached,Land,OCR,2022,East
90.0,01-05,Resale,2228000,Condominium,Strata,CCR,2024,Central
210.1,Ground,Resale,4850000,Terrace,Land,CCR,2019,Central
119.0,01-05,Resale,1498000,Apartment,Strata,CCR,2019,Central
116.0,06-10,Resale,2250000,Apartment,Strata,CCR,2024,Central
91.0,06-10,Resale,1730000,Apartment,Strata,CCR,2024,Central
91.0,01-05,Resale,2130000,Condominium,Strata,CCR,2023,Central
173.6,Ground,Resale,4850000,Terrace,Land,CCR,2020,Central
306.8,Ground,Resale,7800000,Semi-detached,Land,CCR,2020,Central
100.0,01-05,Resale,838000,Apartment,Strata,RCR,2020,East
35.0,01-05,Resale,688000,Apartment,Strata,RCR,2024,Central
254.5,Ground,Resale,5050000,Terrace,Land,CCR,2020,Central
53.0,01-05,Resale,820000,Apartment,Strata,RCR,2024,Central
301.0,21-25,Resale,7600000,Apartment,Strata,CCR,2024,Central
58.0,06-10,Resale,705000,Apartment,Strata,RCR,2021,East
174.5,01-05,Sub Sale,1310000,Apartment,Strata,RCR,2024,East
70.0,06-10,Resale,1245000,Apartment,Strata,CCR,2023,Central
115.0,11-15,Resale,2550000,Condominium,Strata,CCR,2024,Central
268.0,21-25,Resale,11850000,Condominium,Strata,CCR,2024,Central
108.0,01-05,Resale,1700000,Condominium,Strata,CCR,2020,Central
113.0,01-05,Resale,1350000,Apartment,Strata,RCR,2024,East
65.0,11-15,Resale,1388000,Apartment,Strata,RCR,2024,East
122.0,16-20,Resale,3300000,Apartment,Strata,CCR,2024,Central
120.0,06-10,Resale,2580000,Condominium,Strata,RCR,2023,Central
48.0,01-05,Resale,1042000,Apartment,Strata,CCR,2021,Central
174.0,01-05,Resale,2900000,Condominium,Strata,CCR,2019,Central
119.0,01-05,Resale,1270000,Apartment,Strata,RCR,2023,East
149.8,Ground,Resale,3680000,Terrace,Land,CCR,2019,Central
119.0,01-05,Resale,1850000,Apartment,Strata,OCR,2024,East
79.0,06-10,Resale,1580000,Apartment,Strata,CCR,2023,Central
163.0,01-05,Resale,3200000,Apartment,Strata,RCR,2024,East
147.0,06-10,Resale,3050000,Apartment,Strata,CCR,2024,Central
116.0,06-10,Resale,1270000,Apartment,Strata,RCR,2019,East
401.9,Ground,Resale,10388000,Semi-detached,Land,CCR,2023,Central
177.0,16-20,Resale,4800000,Condominium,Strata,CCR,2023,Central
310.0,01-05,Resale,7600000,Apartment,Strata,CCR,2023,Central
123.0,01-05,Resale,1049000,Apartment,Strata,RCR,2021,East
564.0,Ground,Resale,15200000,Detached,Land,CCR,2022,Central
53.0,06-10,Sub Sale,1240000,Apartment,Strata,RCR,2024,East
93.0,01-05,Resale,1310000,Apartment,Strata,RCR,2023,East
311.9,Ground,Resale,5900000,Terrace,Land,CCR,2019,Central
572.5,Ground,Resale,11500000,Detached,Land,CCR,2021,Central
212.3,Ground,Resale,2750000,Terrace,Land,RCR,2021,East
248.0,Ground,Resale,4950000,Condominium,Strata,CCR,2024,Central
188.0,01-05,Resale,3650000,Condominium,Strata,CCR,2023,Central
39.0,11-15,Resale,788000,Apartment,Strata,RCR,2024,East
104.0,01-05,Resale,1810000,Apartment,Strata,CCR,2019,Central
85.0,06-10,New Sale,2413000,Apartment,Strata,CCR,2019,Central
345.0,06-10,Resale,4630000,Condominium,Strata,CCR,2024,Central
54.0,06-10,Resale,758000,Apartment,Strata,RCR,2024,East
77.0,01-05,Resale,1480000,Apartment,Strata,OCR,2024,East
142.8,Ground,Resale,1800000,Terrace,Land,RCR,2021,East
1142.6,Ground,Resale,26600000,Detached,Land,CCR,2021,Central
124.0,06-10,Resale,3240000,Apartment,Strata,CCR,2024,Central
393.8,Ground,Resale,4100000,Semi-detached,Land,OCR,2020,East
48.0,01-05,New Sale,988000,Apartment,Strata,RCR,2023,East
229.8,Ground,Resale,5518000,Semi-detached,Land,CCR,2021,Central
161.0,01-05,Resale,3880000,Condominium,Strata,CCR,2023,Central
239.0,Ground,Resale,1780000,Strata Terrace,Strata,OCR,2020,East
138.0,01-05,Resale,1645388,Apartment,Strata,RCR,2019,East
575.0,Ground,Resale,9088800,Semi-detached,Land,RCR,2023,Central
89.0,01-05,Sub Sale,1600000,Apartment,Strata,OCR,2024,East
163.0,01-05,Resale,2800000,Condominium,Strata,CCR,2024,Central
111.0,01-05,Resale,1930000,Apartment,Strata,RCR,2024,East
51.0,01-05,Resale,1150000,Apartment,Strata,CCR,2023,Central
546.3,Ground,Resale,13990000,Detached,Land,CCR,2024,Central
44.0,01-05,Resale,818000,Condominium,Strata,RCR,2023,East
173.7,Ground,Resale,3500000,Terrace,Land,CCR,2020,Central
160.0,01-05,Resale,2900000,Apartment,Strata,CCR,2024,Central
160.0,06-10,Resale,3080000,Condominium,Strata,CCR,2024,Central
154.0,01-05,Resale,2620000,Condominium,Strata,CCR,2023,Central
195.0,01-05,Resale,5320000,Apartment,Strata,CCR,2023,Central
126.9,Ground,Resale,6080000,Terrace,Land,CCR,2024,Central
114.0,01-05,Resale,995000,Apartment,Strata,RCR,2021,East
121.0,06-10,Resale,1900000,Apartment,Strata,CCR,2019,Central
250.6,Ground,Resale,2700000,Terrace,Land,OCR,2019,East
92.0,01-05,Resale,2375108,Apartment,Strata,CCR,2024,Central
422.0,01-05,Resale,9100000,Apartment,Strata,CCR,2021,Central
113.0,01-05,Resale,2368000,Apartment,Strata,CCR,2024,Central
302.0,06-10,Resale,12643000,Condominium,Strata,CCR,2024,Central
433.3,Ground,Resale,3950000,Terrace,Land,OCR,2020,East
123.0,06-10,New Sale,2990000,Apartment,Strata,RCR,2023,East
153.3,Ground,Resale,5000000,Terrace,Land,CCR,2021,Central
166.0,Ground,Resale,3050000,Strata Terrace,Strata,CCR,2020,Central
134.0,06-10,Resale,3350000,Condominium,Strata,CCR,2024,Central
103.0,06-10,Resale,1140000,Apartment,Strata,RCR,2020,East
307.0,01-05,Resale,5168000,Condominium,Strata,CCR,2023,Central
128.0,01-05,Resale,1020000,Apartment,Strata,RCR,2019,East
109.0,11-15,Resale,2100000,Apartment,Strata,RCR,2024,East
230.0,Ground,Resale,1700000,Strata Terrace,Strata,OCR,2020,East
52.0,06-10,Resale,860000,Apartment,Strata,RCR,2024,East
115.8,Ground,Resale,4500000,Terrace,Land,RCR,2022,Central
181.0,01-05,Resale,2980000,Apartment,Strata,CCR,2020,Central
53.0,01-05,Resale,888000,Apartment,Strata,RCR,2023,East
111.0,01-05,Resale,1200000,Apartment,Strata,RCR,2021,East
90.0,06-10,Resale,1573000,Apartment,Strata,CCR,2020,Central
620.2,Ground,Resale,13800000,Semi-detached,Land,CCR,2021,Central
220.0,01-05,Resale,2200000,Apartment,Strata,RCR,2021,Central
601.0,Ground,Resale,5300000,Strata Semi-detached,Strata,CCR,2022,Central
45.0,01-05,Resale,575000,Apartment,Strata,RCR,2021,Central
132.0,06-10,Resale,1935000,Apartment,Strata,RCR,2024,East
91.0,01-05,Resale,1750000,Apartment,Strata,CCR,2023,Central
149.0,01-05,New Sale,3635800,Apartment,Strata,CCR,2024,Central
193.0,01-05,Resale,1880000,Apartment,Strata,RCR,2019,Central
1354.1,Ground,Resale,26388888,Detached,Land,CCR,2023,Central
120.0,06-10,Resale,2530000,Apartment,Strata,CCR,2024,Central
277.0,01-05,Resale,5000000,Condominium,Strata,CCR,2024,Central
333.0,21-25,Resale,16800000,Condominium,Strata,CCR,2019,Central
434.0,Ground,Resale,15600000,Semi-detached,Land,CCR,2021,Central
81.0,01-05,Resale,1100000,Apartment,Strata,CCR,2020,Central
115.0,01-05,Resale,2600000,Apartment,Strata,CCR,2022,Central
228.0,06-10,Resale,7280000,Condominium,Strata,CCR,2023,Central
137.0,01-05,Resale,1600000,Apartment,Strata,RCR,2020,Central
338.0,01-05,Resale,6300000,Apartment,Strata,CCR,2021,Central
233.2,Ground,Resale,3425000,Terrace,Land,OCR,2020,East
376.0,26-30,Resale,13000000,Condominium,Strata,CCR,2019,Central
345.4,Ground,Resale,5430000,Semi-detached,Land,OCR,2021,East
33.0,01-05,Resale,655000,Apartment,Strata,RCR,2023,East
76.0,01-05,Resale,2388888,Condominium,Strata,CCR,2023,Central
41.0,11-15,Resale,945000,Apartment,Strata,CCR,2024,Central
122.0,01-05,Resale,1480000,Apartment,Strata,RCR,2024,East
470.0,11-15,Resale,4200000,Apartment,Strata,CCR,2019,Central
267.0,01-05,Resale,6300000,Apartment,Strata,CCR,2024,Central
274.3,Ground,Resale,2900000,Terrace,Land,OCR,2020,East
441.0,01-05,Resale,4300000,Apartment,Strata,RCR,2021,East
49.0,01-05,Resale,898000,Apartment,Strata,CCR,2021,Central
172.3,Ground,Resale,4900000,Terrace,Land,RCR,2023,East
94.0,21-25,Resale,2750000,Condominium,Strata,CCR,2019,Central
225.0,11-15,Resale,3400000,Condominium,Strata,CCR,2020,Central
1603.5,Ground,Resale,28800000,Detached,Land,CCR,2021,Central
139.0,11-15,Resale,3330000,Condominium,Strata,CCR,2024,Central
133.0,01-05,Resale,2400000,Apartment,Strata,CCR,2023,Central
377.7,Ground,Resale,9526890,Semi-detached,Land,CCR,2021,Central
105.0,01-05,Resale,880000,Apartment,Strata,RCR,2021,East
124.4,01-05,Resale,1115000,Apartment,Strata,RCR,2020,Central
150.1,Ground,Resale,3000000,Terrace,Land,RCR,2021,East
378.9,Ground,Resale,8950000,Semi-detached,Land,CCR,2024,Central
322.0,11-15,Resale,5900000,Condominium,Strata,CCR,2019,Central
137.0,01-05,Resale,2580000,Condominium,Strata,CCR,2024,Central
288.0,06-10,Resale,5000000,Apartment,Strata,CCR,2020,Central
314.0,01-05,Resale,9250000,Condominium,Strata,CCR,2024,Central
263.0,01-05,Resale,3880000,Condominium,Strata,CCR,2020,Central
80.0,06-10,Resale,1568888,Condominium,Strata,RCR,2024,East
52.0,01-05,Resale,1055000,Apartment,Strata,CCR,2024,Central
95.0,01-05,Resale,1600000,Apartment,Strata,CCR,2019,Central
334.1,Ground,Resale,6480000,Semi-detached,Land,CCR,2020,Central
198.0,01-05,Resale,1450000,Apartment,Strata,OCR,2020,East
288.0,Ground,Resale,7288000,Semi-detached,Land,CCR,2020,Central
240.0,06-10,Resale,4980000,Condominium,Strata,CCR,2024,Central
199.0,16-20,Resale,2120000,Apartment,Strata,CCR,2019,Central
154.0,01-05,Resale,2688000,Apartment,Strata,CCR,2023,Central
191.6,Ground,Resale,3670000,Terrace,Land,CCR,2020,Central
405.0,Ground,Resale,4350000,Strata Semi-detached,Strata,CCR,2024,Central
114.0,06-10,Resale,890000,Apartment,Strata,RCR,2019,East
239.0,21-25,Resale,5760000,Apartment,Strata,CCR,2024,Central
31.0,01-05,Resale,858888,Apartment,Strata,CCR,2024,Central
265.6,Ground,Resale,4730000,Terrace,Land,RCR,2021,East
120.0,06-10,Resale,1730000,Apartment,Strata,CCR,2020,Central
510.0,Ground,Resale,3350000,Strata Detached,Strata,OCR,2021,East
421.1,Ground,Resale,7700000,Semi-detached,Land,CCR,2021,Central
121.0,11-15,Resale,2338000,Condominium,Strata,CCR,2023,Central
410.0,Ground,Resale,3088888,Strata Detached,Strata,RCR,2021,East
148.0,01-05,Resale,2050000,Apartment,Strata,RCR,2024,East
544.0,Ground,Resale,3080000,Strata Detached,Strata,OCR,2020,East
80.0,01-05,Resale,1720000,Apartment,Strata,CCR,2024,Central
299.0,11-15,Resale,6200000,Condominium,Strata,CCR,2020,Central
82.0,16-20,Resale,1780000,Apartment,Strata,CCR,2024,Central
58.0,06-10,Resale,972000,Apartment,Strata,CCR,2020,Central
935.3,Ground,Resale,15012888,Detached,Land,CCR,2024,Central
149.2,Ground,Resale,3700000,Terrace,Land,RCR,2024,East
135.0,01-05,Resale,3608000,Apartment,Strata,CCR,2024,Central
159.7,Ground,Resale,5480000,Terrace,Land,RCR,2022,Central
94.0,06-10,Resale,1760000,Apartment,Strata,RCR,2024,East
115.0,06-10,Resale,2750000,Apartment,Strata,CCR,2024,Central
342.0,Ground,Resale,3750000,Strata Terrace,Strata,CCR,2023,Central
114.0,16-20,Resale,2500000,Condominium,Strata,CCR,2024,Central
103.0,01-05,Resale,1400000,Apartment,Strata,OCR,2023,East
174.0,06-10,Resale,2290000,Apartment,Strata,RCR,2023,East
399.0,Ground,Resale,3330000,Strata Terrace,Strata,OCR,2021,East
178.0,01-05,Resale,1920000,Apartment,Strata,RCR,2019,East
227.1,Ground,Resale,4400000,Semi-detached,Land,RCR,2021,East
133.0,26-30,Resale,3440000,Apartment,Strata,CCR,2019,Central
300.0,01-05,Resale,7850000,Condominium,Strata,CCR,2023,Central
126.0,06-10,Resale,2138000,Apartment,Strata,RCR,2024,Central
389.0,01-05,Resale,4288000,Strata Semi-detached,Strata,CCR,2019,Central
302.0,11-15,Resale,5200000,Condominium,Strata,CCR,2024,Central
220.8,Ground,Resale,4510000,Terrace,Land,OCR,2023,East
101.0,06-10,Resale,1530000,Apartment,Strata,CCR,2019,Central
103.0,01-05,Resale,2130000,Condominium,Strata,CCR,2024,Central
501.7,Ground,Resale,7180000,Semi-detached,Land,CCR,2021,Central
1404.8,Ground,Resale,23000000,Detached,Land,CCR,2024,Central
230.0,01-05,Resale,5200000,Apartment,Strata,CCR,2023,Central
34.0,01-05,Resale,533000,Apartment,Strata,OCR,2020,East
481.2,Ground,Resale,13000000,Detached,Land,CCR,2019,Central
109.0,01-05,Resale,1935000,Apartment,Strata,CCR,2024,Central
62.0,01-05,Resale,1580000,Apartment,Strata,CCR,2023,Central
51.0,06-10,Resale,860000,Apartment,Strata,CCR,2019,Central
248.0,01-05,Resale,5100000,Condominium,Strata,CCR,2024,Central
50.0,01-05,Resale,776000,Condominium,Strata,OCR,2023,East
420.0,Ground,Resale,7900000,Semi-detached,Land,CCR,2019,Central
