area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,mktSegment
82,01-05,1,1122,3,1400000,Apartment,15,Strata,Freehold,RCR
152.4,-,1,0623,3,3100000,Terrace,05,Land,Freehold,OCR
536,-,1,0421,3,2700000,Strata Detached,14,Strata,Freehold,OCR
158,06-10,1,0323,3,3280000,Condominium,10,Strata,99 yrs lease commencing from 1991,CCR
410.2,-,1,0222,2,13680000,Detached,15,Land,Freehold,RCR
122,06-10,1,1222,3,2900000,Apartment,10,Strata,Freehold,CCR
112,01-05,1,0923,3,2130000,Condominium,13,Strata,Freehold,RCR
166,11-15,1,0723,3,3030000,Apartment,10,Strata,99 yrs lease commencing from 2006,CCR
119,01-05,1,0423,3,2340000,Apartment,11,Strata,Freehold,CCR
84,16-20,1,1023,3,1900000,Condominium,15,Strata,Freehold,RCR
130,01-05,1,0723,3,2710000,Condominium,15,Strata,Freehold,RCR
180,-,1,1221,3,3999999,Terrace,15,Land,Freehold,RCR
99,11-15,1,0424,3,2300000,Apartment,09,Strata,Freehold,CCR
155.1,-,1,0324,3,3999800,Terrace,19,Land,Freehold,OCR
119,06-10,1,0523,3,2900000,Apartment,09,Strata,Freehold,CCR
91,01-05,1,1023,3,1750000,Apartment,10,Strata,99 yrs lease commencing from 2013,CCR
301.2,-,1,0622,3,5200000,Terrace,05,Land,Freehold,RCR
203.1,-,1,0122,3,4800000,Terrace,19,Land,Freehold,OCR
119,01-05,1,1119,3,1560000,Apartment,10,Strata,Freehold,CCR
87,01-05,1,0323,3,1610000,Apartment,15,Strata,Freehold,OCR
408,-,1,0223,3,4500000,Semi-detached,14,Land,Freehold,OCR
115,06-10,1,0623,3,1688888,Apartment,12,Strata,Freehold,RCR
122,06-10,1,0922,3,2128000,Apartment,12,Strata,Freehold,RCR
42,01-05,1,0323,3,690000,Apartment,14,Strata,Freehold,RCR
877,-,1,0221,3,7700000,Strata Detached,11,Strata,Freehold,CCR
95,06-10,1,0524,1,2755760,Apartment,11,Strata,Freehold,CCR
97,01-05,1,0723,3,1290000,Condominium,17,Strata,Freehold,OCR
65,06-10,1,0523,3,1900000,Apartment,15,Strata,Freehold,RCR
71,01-05,1,0523,3,1210000,Apartment,15,Strata,Freehold,RCR
122,01-05,1,0722,3,1435000,Apartment,15,Strata,Freehold,RCR
36,01-05,1,0623,3,678000,Apartment,08,Strata,Freehold,RCR
281,01-05,1,1223,3,8400000,Condominium,04,Strata,99 yrs lease commencing from 2007,RCR
61,11-15,1,0724,3,1320000,Condominium,08,Strata,99 yrs lease commencing from 2015,RCR
351,-,1,0223,3,9300000,Semi-detached,10,Land,999 yrs lease commencing from 1875,CCR
100,11-15,1,1023,3,1400000,Executive Condominium,19,Strata,99 yrs lease commencing from 2013,OCR
348,-,1,0721,3,2650000,Strata Semi-detached,17,Strata,Freehold,OCR
159.8,-,1,0721,3,5128000,Terrace,09,Land,Freehold,CCR
76,01-05,1,0523,3,1035000,Apartment,19,Strata,Freehold,OCR
40,06-10,1,1123,2,1140000,Apartment,03,Strata,99 yrs lease commencing from 2019,RCR
348.3,-,1,0424,3,5400000,Semi-detached,13,Land,Freehold,RCR
183.9,-,1,1022,3,3680000,Terrace,10,Land,Freehold,CCR
176.5,-,1,1220,3,3280000,Terrace,20,Land,Freehold,OCR
42,01-05,1,0723,3,668000,Apartment,19,Strata,Freehold,OCR
173.6,-,1,0920,3,3100000,Terrace,20,Land,Freehold,RCR
113,06-10,1,1221,3,2180000,Apartment,10,Strata,Freehold,CCR
333.4,-,1,0123,3,7530000,Terrace,15,Land,Freehold,RCR
53,06-10,1,0424,3,788888,Apartment,12,Strata,Freehold,RCR
94,01-05,1,1022,3,1118000,Condominium,16,Strata,99 yrs lease commencing from 1995,OCR
136,01-05,1,0723,3,1880000,Apartment,15,Strata,Freehold,RCR
207,01-05,1,0523,3,2670000,Apartment,05,Strata,Freehold,RCR
240,-,1,1122,3,2750000,Strata Terrace,05,Strata,Freehold,OCR
217.5,-,1,1123,3,6680000,Terrace,11,Land,Freehold,CCR
52,01-05,1,0823,3,912000,Apartment,09,Strata,Freehold,CCR
131,06-10,1,1222,3,3080000,Condominium,10,Strata,Freehold,CCR
66,01-05,1,0323,1,1578000,Apartment,11,Strata,Freehold,CCR
98,11-15,1,0723,3,1576888,Condominium,19,Strata,99 yrs lease commencing from 2011,OCR
239.5,-,1,0721,3,10000000,Terrace,09,Land,Freehold,CCR
262.2,-,1,0621,3,3980000,Terrace,14,Land,Freehold,OCR
157.6,-,1,0821,3,3232000,Terrace,20,Land,Freehold,RCR
102,01-05,1,1021,3,1720000,Apartment,15,Strata,Freehold,RCR
220.4,-,1,0821,3,5520000,Terrace,11,Land,Freehold,CCR
106,01-05,1,1222,3,1280000,Apartment,14,Strata,Freehold,RCR
137,01-05,1,1020,3,1500000,Apartment,08,Strata,Freehold,RCR
137,11-15,1,0423,1,3171000,Apartment,20,Strata,99 yrs lease commencing from 2021,OCR
119,01-05,1,1122,3,1800000,Apartment,15,Strata,Freehold,RCR
190,01-05,1,0820,3,1560000,Apartment,14,Strata,Freehold,RCR
72,06-10,1,1223,3,915000,Condominium,14,Strata,Freehold,OCR
84,31-35,1,0923,3,1720000,Condominium,20,Strata,99 yrs lease commencing from 2007,OCR
259.2,-,1,1221,3,2000000,Terrace,15,Land,Freehold,OCR
2734.6,-,1,0721,3,65000000,Detached,10,Land,Freehold,CCR
35,16-20,1,1023,3,695000,Apartment,12,Strata,Freehold,RCR
120,01-05,1,0223,3,1600000,Apartment,15,Strata,Freehold,RCR
78,01-05,1,0122,1,1598850,Apartment,20,Strata,Freehold,OCR
586.2,-,1,0222,3,14500000,Detached,10,Land,Freehold,CCR
372,-,1,0122,3,3188000,Strata Detached,15,Strata,Freehold,OCR
93,01-05,1,0822,3,1230000,Apartment,14,Strata,Freehold,RCR
204.9,-,1,0621,3,4500000,Terrace,11,Land,Freehold,CCR
90,06-10,1,1022,3,1450000,Apartment,02,Strata,99 yrs lease commencing from 2004,RCR
296.6,-,1,0720,3,6000000,Terrace,02,Land,Freehold,RCR
130,01-05,1,1022,3,2300000,Apartment,11,Strata,Freehold,CCR
70,01-05,1,1023,3,1200000,Apartment,15,Strata,Freehold,OCR
295.6,-,1,0822,3,5260000,Terrace,13,Land,Freehold,OCR
223.6,-,1,0324,3,3580000,Semi-detached,17,Land,Freehold,OCR
32,06-10,1,0623,3,655000,Apartment,15,Strata,Freehold,RCR
144,01-05,1,0723,3,2500000,Condominium,13,Strata,Freehold,RCR
89,01-05,1,0422,3,1150000,Apartment,12,Strata,Freehold,RCR
187,-,1,0223,3,3550000,Terrace,15,Land,Freehold,RCR
110,11-15,1,0323,3,1650000,Apartment,12,Strata,Freehold,RCR
77,11-15,1,0623,3,1510000,Apartment,09,Strata,Freehold,CCR
57,26-30,1,0424,3,1320000,Apartment,11,Strata,Freehold,CCR
152,01-05,1,0623,3,2700000,Condominium,15,Strata,Freehold,OCR
160,01-05,1,0522,3,2575000,Condominium,15,Strata,Freehold,OCR
127,01-05,1,0621,3,1515000,Apartment,14,Strata,Freehold,OCR
226,06-10,1,0424,3,5700000,Apartment,09,Strata,Freehold,CCR
209.5,-,1,0922,3,3400000,Semi-detached,11,Land,99 yrs lease commencing from 1993,CCR
52,06-10,1,0523,3,825000,Apartment,14,Strata,Freehold,RCR
577.7,-,1,0220,3,8600000,Detached,21,Land,Freehold,RCR
332,01-05,1,0723,3,3188880,Condominium,16,Strata,Freehold,OCR
76,01-05,1,1123,3,1480000,Apartment,19,Strata,Freehold,OCR
89,01-05,1,0922,3,1199999,Apartment,19,Strata,999 yrs lease commencing from 1883,OCR
353.1,-,1,0324,3,7200000,Semi-detached,15,Land,Freehold,OCR
187.8,-,1,1221,3,3280000,Terrace,19,Land,Freehold,OCR
575.9,-,1,0122,3,19147354,Detached,15,Land,Freehold,RCR
115,01-05,1,0423,3,1700000,Apartment,12,Strata,Freehold,RCR
204.3,-,1,0423,3,3780000,Terrace,16,Land,Freehold,OCR
86,06-10,1,0323,3,2150000,Apartment,10,Strata,Freehold,CCR
445.3,-,1,0421,3,5200000,Detached,18,Land,999 yrs lease commencing from 1874,OCR
275,16-20,1,0322,3,5678000,Apartment,09,Strata,Freehold,CCR
73,01-05,1,0324,1,1768500,Apartment,15,Strata,Freehold,RCR
188,01-05,1,1122,3,2700000,Strata Terrace,05,Strata,Freehold,RCR
120,06-10,1,0723,3,1500000,Apartment,14,Strata,Freehold,RCR
145.5,-,1,0721,3,3900000,Terrace,12,Land,Freehold,RCR
491.1,-,1,1023,3,8680000,Semi-detached,16,Land,Freehold,OCR
308,01-05,1,0623,3,5312088,Strata Terrace,11,Strata,103 yrs lease commencing from 2011,CCR
47,06-10,1,0524,3,730000,Condominium,19,Strata,99 yrs lease commencing from 2011,OCR
150,-,1,1022,3,3330000,Terrace,16,Land,Freehold,OCR
106,01-05,1,0321,3,1370000,Apartment,15,Strata,Freehold,OCR
263,11-15,1,0722,3,12000000,Apartment,09,Strata,Freehold,CCR
387.5,-,1,0223,3,800000,Semi-detached,16,Land,70 yrs lease commencing from 1964,OCR
164.9,-,1,0424,3,4480000,Terrace,15,Land,Freehold,OCR
124,11-15,1,0822,3,2600000,Apartment,10,Strata,Freehold,CCR
669.8,-,1,0223,3,12800000,Detached,21,Land,Freehold,OCR
139,01-05,1,0624,3,1833888,Condominium,19,Strata,Freehold,OCR
128,06-10,1,1022,3,2180000,Condominium,15,Strata,Freehold,OCR
150,-,1,0424,3,2628000,Terrace,19,Land,99 yrs lease commencing from 1996,OCR
151.1,-,1,0521,3,2808000,Terrace,15,Land,Freehold,OCR
309.5,-,1,0521,3,6500000,Semi-detached,10,Land,Freehold,CCR
135.7,01-05,1,1021,3,2420000,Apartment,14,Strata,Freehold,RCR
50,06-10,1,0623,3,798000,Apartment,14,Strata,Freehold,RCR
306.5,-,1,1220,3,2800088,Terrace,16,Land,99 yrs lease commencing from 1995,OCR
235,01-05,1,1121,3,4437000,Apartment,10,Strata,Freehold,CCR
143,01-05,1,0524,3,1510000,Executive Condominium,18,Strata,99 yrs lease commencing from 2000,OCR
39,01-05,1,0423,3,650000,Apartment,14,Strata,Freehold,RCR
91,01-05,1,0921,3,1360000,Apartment,09,Strata,Freehold,CCR
94,01-05,1,0623,3,1530000,Apartment,15,Strata,Freehold,OCR
113,11-15,1,0923,3,1230000,Apartment,19,Strata,99 yrs lease commencing from 1997,OCR
148,01-05,1,0622,3,1880000,Apartment,19,Strata,Freehold,OCR
93,01-05,1,0323,3,1650000,Apartment,16,Strata,Freehold,OCR
210.4,-,1,0720,3,3200000,Terrace,05,Land,Freehold,RCR
144,01-05,1,0221,3,1430000,Apartment,15,Strata,Freehold,OCR
103,01-05,1,0919,3,980000,Apartment,14,Strata,Freehold,RCR
139,01-05,1,0423,3,1600000,Apartment,15,Strata,Freehold,RCR
1335.9,-,1,1120,3,21500000,Detached,10,Land,Freehold,CCR
478.4,-,1,1222,3,8650000,Semi-detached,10,Land,Freehold,CCR
177,-,1,0324,3,4118888,Terrace,05,Land,Freehold,RCR
215.5,-,1,0822,3,4300000,Terrace,15,Land,Freehold,RCR
115,01-05,1,1223,3,1530000,Apartment,19,Strata,999 yrs lease commencing from 1886,OCR
245.9,-,1,1222,1,8450000,Semi-detached,11,Land,Freehold,CCR
1409.6,-,1,0621,3,32000000,Detached,10,Land,Freehold,CCR
129,01-05,1,1222,3,2150000,Apartment,15,Strata,Freehold,OCR
119,06-10,1,0819,3,1780000,Apartment,15,Strata,Freehold,RCR
306.8,-,1,1221,1,9200000,Semi-detached,11,Land,Freehold,CCR
110,11-15,1,1021,3,1730000,Apartment,12,Strata,Freehold,RCR
441,01-05,3,0421,3,4300000,Apartment,14,Strata,Freehold,RCR
37,01-05,1,0323,3,620000,Apartment,15,Strata,Freehold,OCR
48,01-05,1,0424,1,1048000,Apartment,14,Strata,Freehold,RCR
89,01-05,1,0523,1,1782000,Apartment,19,Strata,99 yrs lease commencing from 2018,OCR
218,01-05,1,0223,3,5700000,Apartment,10,Strata,Freehold,CCR
173,01-05,1,0424,3,2000000,Apartment,15,Strata,Freehold,RCR
530.7,-,1,0324,3,9500000,Detached,13,Land,Freehold,RCR
170,01-05,1,0424,3,3250000,Condominium,03,Strata,Freehold,RCR
76,01-05,1,0623,3,1715000,Apartment,10,Strata,Freehold,CCR
123,16-20,1,1023,3,3700000,Condominium,09,Strata,Freehold,CCR
345,06-10,1,0822,3,4600000,Condominium,11,Strata,99 yrs lease commencing from 1979,CCR
56,11-15,1,1123,3,1025000,Apartment,16,Strata,99 yrs lease commencing from 2011,OCR
55,01-05,1,0723,3,1370000,Condominium,10,Strata,Freehold,CCR
133,01-05,1,0723,3,1600000,Apartment,03,Strata,Freehold,RCR
110,01-05,1,0424,1,3161280,Condominium,05,Strata,Freehold,RCR
175.9,-,1,0423,3,4450000,Terrace,21,Land,Freehold,RCR
123,01-05,1,0720,3,1380000,Apartment,15,Strata,Freehold,RCR
744.1,-,1,0324,3,8380000,Semi-detached,15,Land,Freehold,OCR
43,01-05,1,1223,3,748000,Apartment,15,Strata,Freehold,OCR
117,01-05,1,0923,3,1570000,Condominium,16,Strata,Freehold,OCR
317.1,-,1,1121,3,5100000,Semi-detached,15,Land,Freehold,OCR
510,01-05,4,1022,3,8800000,Apartment,14,Strata,Freehold,RCR
121,01-05,1,0723,3,1488000,Condominium,17,Strata,Freehold,OCR
88,06-10,1,1222,3,1370000,Apartment,09,Strata,Freehold,CCR
150,-,1,0823,3,2428888,Terrace,17,Land,99 yrs lease commencing from 1993,OCR
99,36-40,1,0524,3,2000000,Apartment,05,Strata,99 yrs lease commencing from 2018,OCR
113,01-05,1,0822,3,1050000,Apartment,14,Strata,Freehold,RCR
489.9,-,1,0423,3,14000000,Detached,11,Land,Freehold,CCR
149,01-05,1,0624,3,2730000,Condominium,10,Strata,Freehold,CCR
1142.6,-,1,0321,3,26600000,Detached,10,Land,Freehold,CCR
164.2,-,1,0723,3,4360000,Terrace,15,Land,Freehold,RCR
166.7,-,1,0923,3,3960000,Terrace,19,Land,Freehold,OCR
205,11-15,1,0423,3,8000000,Condominium,10,Strata,Freehold,CCR
232,11-15,1,1019,3,4000000,Condominium,10,Strata,Freehold,CCR
125,01-05,1,0424,3,2320000,Condominium,03,Strata,99 yrs lease commencing from 1992,RCR
237.1,-,1,0521,3,2358000,Semi-detached,16,Land,99 yrs lease commencing from 1992,OCR
158,11-15,1,0621,3,1350000,Apartment,01,Strata,99 yrs lease commencing from 1970,RCR
115,01-05,1,0522,3,1442000,Apartment,14,Strata,Freehold,RCR
75,01-05,1,0823,3,1000000,Apartment,12,Strata,Freehold,RCR
167.6,-,1,0223,3,4688000,Terrace,16,Land,Freehold,OCR
152.5,-,1,0523,3,2250000,Terrace,19,Land,99 yrs lease commencing from 1993,OCR
40,01-05,1,0922,3,611000,Apartment,12,Strata,Freehold,RCR
163.2,-,1,0323,3,4180000,Terrace,10,Land,Freehold,CCR
111,01-05,1,0622,3,1370000,Apartment,19,Strata,Freehold,OCR
532.6,-,1,0421,3,8300000,Semi-detached,15,Land,Freehold,RCR
113,01-05,1,1221,3,1228888,Apartment,15,Strata,Freehold,RCR
300.3,-,1,0624,3,4950000,Detached,05,Land,Freehold,RCR
1417.3,-,1,0922,3,34000000,Detached,10,Land,Freehold,CCR
113,16-20,1,0324,3,2600000,Condominium,10,Strata,999 yrs lease commencing from 1877,CCR
1451.2,-,1,0421,3,29000000,Detached,10,Land,Freehold,CCR
374,01-05,1,1222,3,3960000,Strata Semi-detached,11,Strata,Freehold,CCR
83,01-05,1,1223,3,1580000,Condominium,04,Strata,99 yrs lease commencing from 2006,RCR
208.6,-,1,0723,3,3880000,Terrace,19,Land,999 yrs lease commencing from 1886,OCR
82,01-05,1,0323,3,1300000,Apartment,15,Strata,Freehold,RCR
434,-,1,0321,3,15600000,Semi-detached,10,Land,Freehold,CCR
118,01-05,1,1222,3,2300000,Apartment,04,Strata,Freehold,RCR
66,16-20,1,0624,3,1080000,Condominium,05,Strata,99 yrs lease commencing from 2011,OCR
111,01-05,1,1022,3,1660000,Condominium,20,Strata,99 yrs lease commencing from 1997,RCR
349.3,-,1,0523,3,5960000,Semi-detached,15,Land,Freehold,OCR
116,06-10,1,0623,3,2000000,Condominium,16,Strata,Freehold,OCR
83,01-05,1,1023,3,1100000,Condominium,17,Strata,Freehold,OCR
515.5,01-05,9,0221,3,18000000,Apartment,09,Land,Freehold,CCR
99,01-05,1,0424,3,1050000,Executive Condominium,18,Strata,99 yrs lease commencing from 1996,OCR
87,26-30,1,0723,3,1870000,Apartment,09,Strata,99 yrs lease commencing from 2002,CCR
116,01-05,1,0424,3,1588888,Apartment,19,Strata,99 yrs lease commencing from 2000,OCR
76,06-10,1,0523,3,1000000,Apartment,14,Strata,Freehold,RCR
91,01-05,1,0523,3,1830000,Apartment,09,Strata,Freehold,CCR
54,01-05,1,0522,3,840000,Apartment,13,Strata,Freehold,OCR
98,01-05,1,1122,3,1688000,Apartment,10,Strata,Freehold,CCR
198,21-25,1,0323,3,5700000,Condominium,09,Strata,Freehold,CCR
148,01-05,1,0424,3,3360000,Apartment,15,Strata,Freehold,RCR
278,-,1,0123,3,2680000,Condominium,16,Strata,99 yrs lease commencing from 1994,OCR
118,01-05,1,0624,3,2700000,Condominium,15,Strata,Freehold,OCR
327.2,-,1,1221,3,4180000,Semi-detached,16,Land,Freehold,OCR
170,01-05,1,1222,3,2080000,Apartment,15,Strata,Freehold,RCR
40,01-05,1,0523,3,640000,Apartment,14,Strata,Freehold,RCR
153.2,-,1,1223,3,3300000,Terrace,19,Land,999 yrs lease commencing from 1879,OCR
90,01-05,1,0523,3,1260000,Condominium,20,Strata,Freehold,OCR
1961.7,-,1,0724,3,49000000,Detached,10,Land,Freehold,CCR
151.5,-,1,0421,3,2800000,Terrace,19,Land,Freehold,OCR
494.3,-,1,0623,3,10900000,Semi-detached,10,Land,999 yrs lease commencing from 1885,CCR
100,01-05,1,0920,3,1000000,Apartment,19,Strata,Freehold,RCR
230.5,-,1,0821,1,6450000,Terrace,11,Land,Freehold,CCR
47,06-10,1,0523,3,970000,Condominium,03,Strata,99 yrs lease commencing from 2014,RCR
600,-,1,0920,3,5350000,Strata Semi-detached,11,Strata,Freehold,CCR
115,01-05,1,0622,3,1860000,Apartment,15,Strata,Freehold,OCR
457,-,1,1122,3,10066888,Condominium,10,Strata,Freehold,CCR
45,11-15,1,0424,3,780000,Condominium,18,Strata,99 yrs lease commencing from 2010,OCR
154.3,-,1,0621,3,2500000,Terrace,13,Land,Freehold,OCR
500.4,-,1,0822,3,11600000,Semi-detached,15,Land,Freehold,RCR
235,-,1,1222,3,2978888,Strata Terrace,19,Strata,Freehold,OCR
457,-,1,0124,3,4600000,Strata Terrace,05,Strata,Freehold,RCR
56,01-05,1,0622,3,650000,Apartment,16,Strata,99 yrs lease commencing from 1996,OCR
68,16-20,1,0723,1,2396790,Apartment,07,Strata,99 yrs lease commencing from 2018,CCR
601.3,-,1,0324,3,22880000,Detached,11,Land,Freehold,CCR
205.3,-,1,0324,3,4398000,Terrace,15,Land,Freehold,OCR
41,01-05,1,0523,3,695000,Apartment,15,Strata,Freehold,RCR
88,01-05,1,0422,3,1340000,Apartment,15,Strata,Freehold,OCR
94,01-05,1,0723,3,2400000,Apartment,09,Strata,Freehold,CCR
150,-,1,0623,3,2400000,Terrace,19,Land,99 yrs lease commencing from 1996,OCR
95,01-05,1,0721,3,1300000,Apartment,08,Strata,Freehold,RCR
1939,06-10,14,1220,3,26500000,Apartment,14,Strata,Freehold,RCR
41,01-05,1,1023,3,700000,Apartment,14,Strata,Freehold,RCR
124,06-10,1,0823,3,2928000,Apartment,15,Strata,Freehold,RCR
287.2,-,1,0522,1,10500000,Semi-detached,11,Land,Freehold,CCR
105,31-35,1,0324,3,2320000,Condominium,01,Strata,99 yrs lease commencing from 2005,CCR
175.8,-,1,0423,3,4150000,Terrace,05,Land,Freehold,RCR
39,01-05,1,0723,3,860000,Apartment,11,Strata,Freehold,CCR
166.9,-,1,1022,3,3300000,Terrace,19,Land,Freehold,OCR
161,01-05,1,0223,3,2830000,Condominium,09,Strata,99 yrs lease commencing from 1990,CCR
145.6,-,1,1223,3,3080000,Terrace,14,Land,Freehold,OCR
853,-,1,1022,3,22000000,Detached,04,Land,99 yrs lease commencing from 2007,CCR
258,01-05,1,1022,3,9400000,Condominium,10,Strata,Freehold,CCR
949.8,-,1,0721,3,18000000,Detached,13,Land,Freehold,OCR
78,01-05,1,0421,3,1070000,Apartment,15,Strata,Freehold,RCR
126.6,-,1,0719,3,2000000,Terrace,15,Land,Freehold,RCR
491.7,-,1,0123,3,12800000,Detached,10,Land,Freehold,CCR
44,06-10,1,0723,3,920000,Apartment,09,Strata,Freehold,CCR
164.2,-,1,0921,3,3600000,Terrace,16,Land,Freehold,OCR
375.8,-,1,0321,3,3380000,Terrace,13,Land,Freehold,OCR
134,01-05,1,0221,3,1380000,Apartment,08,Strata,Freehold,RCR
171,06-10,1,0522,3,3650000,Condominium,11,Strata,Freehold,CCR
46,01-05,1,0223,3,780000,Apartment,08,Strata,Freehold,RCR
177,01-05,1,0324,3,2360000,Condominium,16,Strata,99 yrs lease commencing from 1997,OCR
139,11-15,1,0523,3,1560888,Executive Condominium,19,Strata,99 yrs lease commencing from 2001,OCR
242,-,1,0522,3,4380000,Condominium,10,Strata,Freehold,CCR
166,01-05,1,0424,3,2420000,Apartment,15,Strata,Freehold,RCR
394.4,-,1,1122,3,6180000,Semi-detached,17,Land,Freehold,OCR
109,01-05,1,0722,3,1625000,Apartment,15,Strata,Freehold,OCR
253,-,1,0424,3,2880000,Semi-detached,16,Land,99 yrs lease commencing from 1994,OCR
107,01-05,1,0722,3,1610000,Apartment,08,Strata,Freehold,RCR
378.2,-,1,0821,3,6700000,Semi-detached,15,Land,Freehold,RCR
114,01-05,1,1023,3,3000000,Apartment,09,Strata,Freehold,CCR
479.3,-,1,0324,3,5500000,Terrace,19,Land,Freehold,OCR
111,01-05,1,0324,3,1525000,Apartment,16,Strata,Freehold,OCR
41,16-20,1,0623,3,760000,Apartment,12,Strata,Freehold,RCR
40,01-05,1,0723,3,750000,Apartment,08,Strata,Freehold,RCR
165.7,-,1,0921,3,3650000,Terrace,15,Land,Freehold,RCR
90,01-05,1,1021,3,1270000,Apartment,19,Strata,Freehold,OCR
42,11-15,1,1122,3,900000,Apartment,12,Strata,Freehold,RCR
237.7,-,1,0523,3,4000000,Detached,15,Land,Freehold,RCR
206.6,-,1,0622,3,6128000,Terrace,11,Land,Freehold,CCR
102,01-05,1,0424,1,2561000,Apartment,15,Strata,Freehold,RCR
206.2,-,1,0422,3,5260000,Semi-detached,21,Land,999 yrs lease commencing from 1884,OCR
215.7,-,1,0723,3,4220000,Terrace,19,Land,999 yrs lease commencing from 1878,OCR
114,01-05,1,1223,3,1320000,Condominium,18,Strata,99 yrs lease commencing from 2000,OCR
126,01-05,1,0324,3,2950000,Condominium,10,Strata,Freehold,CCR
150,11-15,1,0624,3,3540000,Condominium,04,Strata,Freehold,RCR
91,01-05,1,0522,3,1070000,Apartment,14,Strata,Freehold,RCR
364.5,-,1,0621,3,6800000,Semi-detached,10,Land,999 yrs lease commencing from 1885,CCR
122,21-25,1,1222,3,3380000,Condominium,09,Strata,Freehold,CCR
436,01-05,1,0623,3,3250000,Strata Detached,17,Strata,946 yrs lease commencing from 1938,OCR
79,01-05,1,0123,1,2195000,Apartment,10,Strata,Freehold,CCR
67,01-05,1,0521,3,950000,Apartment,15,Strata,Freehold,OCR
96,26-30,1,0823,3,2550000,Apartment,12,Strata,Freehold,RCR
57,01-05,1,0723,3,1080000,Condominium,19,Strata,Freehold,OCR
49,01-05,1,0523,3,806000,Apartment,14,Strata,Freehold,RCR
311,11-15,2,0421,3,6000000,Apartment,09,Strata,Freehold,CCR
268,11-15,1,0423,3,5100000,Condominium,10,Strata,Freehold,CCR
119,06-10,1,0424,3,1670000,Executive Condominium,19,Strata,99 yrs lease commencing from 2013,OCR
89,01-05,1,0524,3,860000,Condominium,18,Strata,99 yrs lease commencing from 1992,OCR
144,01-05,1,0721,3,1500000,Apartment,14,Strata,Freehold,RCR
415.7,-,1,0421,3,4850000,Semi-detached,13,Land,Freehold,RCR
84,21-25,1,0623,3,1700000,Condominium,03,Strata,99 yrs lease commencing from 2004,RCR
60,01-05,1,1022,1,1654000,Apartment,11,Strata,Freehold,CCR
142,01-05,1,1123,3,2700000,Condominium,10,Strata,Freehold,CCR
43,11-15,1,1122,3,1068000,Apartment,10,Strata,Freehold,CCR
234,16-20,1,0723,3,2100000,Condominium,16,Strata,99 yrs lease commencing from 2001,OCR
300.9,-,1,0123,3,5880000,Semi-detached,11,Land,Freehold,CCR
114,01-05,1,0324,3,1200000,Apartment,14,Strata,Freehold,RCR
137,11-15,1,0424,3,3320000,Condominium,10,Strata,Freehold,CCR
204,-,1,0819,3,1880000,Strata Terrace,19,Strata,999 yrs lease commencing from 1884,OCR
109,01-05,1,1021,3,2200000,Apartment,10,Strata,Freehold,CCR
233.7,-,1,0424,3,5180000,Semi-detached,14,Land,Freehold,OCR
156.4,-,1,1221,3,3250000,Terrace,16,Land,Freehold,OCR
199,01-05,1,0423,3,2700000,Apartment,15,Strata,Freehold,OCR
427.8,-,1,0622,3,9000000,Semi-detached,15,Land,Freehold,RCR
98,01-05,1,0323,3,1480000,Apartment,20,Strata,Freehold,RCR
188.4,-,1,0324,3,6380000,Terrace,10,Land,Freehold,CCR
139,06-10,1,0922,3,3950000,Condominium,09,Strata,Freehold,CCR
115,01-05,1,0423,3,2600000,Apartment,10,Strata,Freehold,CCR
802,-,1,0423,3,14500000,Detached,04,Land,99 yrs lease commencing from 2005,CCR
470,-,1,1023,3,5300000,Strata Detached,15,Strata,Freehold,RCR
1216.3,-,1,0522,3,23800000,Detached,11,Land,999 yrs lease commencing from 1874,CCR
112,16-20,1,1221,3,2480000,Apartment,09,Strata,Freehold,CCR
416,01-05,1,0722,3,10000000,Apartment,10,Strata,Freehold,CCR
366.7,-,1,0720,3,9950000,Semi-detached,11,Land,Freehold,CCR
48,01-05,1,0922,3,985000,Apartment,09,Strata,Freehold,CCR
300,11-15,1,0623,3,5000000,Condominium,10,Strata,99 yrs lease commencing from 1980,CCR
174.9,-,1,0422,3,3400000,Terrace,19,Land,Freehold,OCR
94,06-10,1,1021,3,1600000,Apartment,09,Strata,Freehold,CCR
119,01-05,1,0923,3,1640000,Apartment,19,Strata,Freehold,OCR
208.2,-,1,1021,3,4130000,Semi-detached,19,Land,Freehold,OCR
118,11-15,1,0822,3,1978888,Apartment,15,Strata,Freehold,RCR
220.7,-,1,0423,3,3000000,Semi-detached,16,Land,99 yrs lease commencing from 1994,OCR
149,01-05,1,0523,3,2000000,Apartment,14,Strata,Freehold,RCR
170,01-05,1,1020,3,1670000,Apartment,19,Strata,Freehold,OCR
144.8,-,1,0822,3,3388000,Terrace,20,Land,Freehold,RCR
201.8,-,1,0922,3,4380000,Semi-detached,15,Land,Freehold,OCR
433,-,1,0723,3,4180000,Strata Detached,13,Strata,Freehold,OCR
72,01-05,1,0324,3,1702000,Apartment,11,Strata,Freehold,CCR
1470.3,-,1,0221,3,30880000,Detached,10,Land,Freehold,CCR
582.7,-,1,1022,3,14000000,Terrace,14,Land,Freehold,RCR
150,-,1,1221,3,2630000,Terrace,18,Land,999 yrs lease commencing from 1881,OCR
703,-,1,0521,3,3600000,Strata Detached,04,Strata,Freehold,RCR
156.2,-,1,1022,3,3050000,Terrace,19,Land,Freehold,OCR
174.5,-,1,0121,3,2210000,Terrace,19,Land,99 yrs lease commencing from 2001,OCR
