area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,mktSegment
691.8,-,1,0422,3,13000000,Detached,11,Land,Freehold,CCR
2554,-,1,0820,3,35000000,Detached,10,Land,Freehold,CCR
259,26-30,1,0723,1,8648000,Apartment,06,Strata,99 yrs lease commencing from 2021,RCR
180.3,-,1,0421,3,2038888,Terrace,16,Land,99 yrs lease commencing from 1995,OCR
140,01-05,1,0421,3,2375000,Apartment,10,Strata,Freehold,CCR
222,01-05,1,0723,3,5400000,Condominium,10,Strata,Freehold,CCR
153.8,-,1,0120,3,2700000,Terrace,14,Land,Freehold,RCR
179.8,-,1,1221,3,2388000,Terrace,16,Land,99 yrs lease commencing from 1995,OCR
130,01-05,1,0323,3,2000000,Condominium,19,Strata,999 yrs lease commencing from 1878,OCR
147,06-10,1,0723,3,3900000,Apartment,10,Strata,Freehold,CCR
52,01-05,1,0523,3,850000,Apartment,08,Strata,Freehold,RCR
291.6,-,1,0321,3,3850000,Semi-detached,20,Land,Freehold,RCR
183.9,-,1,0320,3,2600000,Terrace,15,Land,Freehold,RCR
355.2,-,1,0223,3,6200000,Semi-detached,16,Land,Freehold,OCR
159.1,-,1,0224,3,4200000,Terrace,19,Land,940 yrs lease commencing from 1941,OCR
140,11-15,1,0424,3,2480000,Condominium,10,Strata,99 yrs lease commencing from 2001,CCR
529.5,-,1,1123,3,8458200,Detached,15,Land,Freehold,RCR
42,11-15,1,0522,3,800000,Apartment,13,Strata,Freehold,RCR
183.7,-,1,0921,3,2900000,Terrace,21,Land,Freehold,RCR
1479.9,-,1,1022,3,32000000,Detached,04,Land,99 yrs lease commencing from 2006,CCR
192,-,1,0122,3,2800000,Terrace,19,Land,Freehold,OCR
86,06-10,1,0723,3,1370000,Condominium,21,Strata,Freehold,RCR
85,01-05,1,0424,3,1210000,Executive Condominium,19,Strata,99 yrs lease commencing from 2014,OCR
65,01-05,1,0721,3,838888,Apartment,15,Strata,Freehold,OCR
74,06-10,1,0623,2,2080000,Apartment,11,Strata,Freehold,CCR
43,01-05,1,0822,3,680000,Apartment,15,Strata,Freehold,OCR
84,06-10,1,0322,3,1705200,Apartment,09,Strata,Freehold,CCR
211,11-15,1,0923,3,2280000,Condominium,16,Strata,99 yrs lease commencing from 1982,OCR
150.8,-,1,0122,3,2600000,Terrace,19,Land,947 yrs lease commencing from 1934,OCR
254.8,-,1,0323,3,5780000,Terrace,15,Land,Freehold,RCR
1856.6,-,1,1021,3,33388888,Detached,10,Land,Freehold,CCR
126,01-05,1,1023,3,1888000,Condominium,21,Strata,Freehold,RCR
208,01-05,1,0423,3,2268000,Apartment,19,Strata,Freehold,OCR
62,01-05,1,0222,3,730000,Apartment,19,Strata,999 yrs lease commencing from 1876,OCR
81,01-05,1,0821,3,1040000,Apartment,15,Strata,Freehold,RCR
66,01-05,1,1122,3,770000,Apartment,15,Strata,Freehold,OCR
865.8,-,1,0121,3,27380000,Detached,10,Land,Freehold,CCR
86,16-20,1,1223,2,2715000,Apartment,15,Strata,Freehold,RCR
179,01-05,1,0623,3,2200000,Condominium,15,Strata,Freehold,RCR
57,01-05,1,0323,3,800000,Apartment,19,Strata,999 yrs lease commencing from 1876,OCR
168,11-15,1,1122,3,2660000,Apartment,13,Strata,Freehold,RCR
554.2,-,1,0523,3,7800000,Semi-detached,21,Land,Freehold,RCR
98,06-10,1,0624,3,1050000,Apartment,14,Strata,Freehold,RCR
60,06-10,1,0524,3,1230000,Apartment,15,Strata,Freehold,RCR
52,01-05,1,0424,3,780000,Apartment,14,Strata,Freehold,RCR
90,01-05,1,0524,1,3356970,Apartment,10,Strata,99 yrs lease commencing from 2019,CCR
479.4,-,1,0521,3,4880000,Semi-detached,16,Land,Freehold,OCR
86,01-05,1,0323,3,2160000,Apartment,10,Strata,Freehold,CCR
67,06-10,1,1222,1,1723000,Apartment,21,Strata,Freehold,RCR
195,06-10,1,0623,3,4950000,Condominium,11,Strata,Freehold,CCR
